GENERATE;PROP;ID;MOBILITÉ;COMBINAISON;UTILISÉ AVEC;INFLUENCE;RÉSULTAT;UTILISÉ AVEC;INFLUENCE;RÉSULTAT;UTILISÉ AVEC;INFLUENCE;RÉSULTAT;UTILISÉ AVEC;INFLUENCE;RÉSULTAT
true;Silhouette;0;STATIQUE;4;Safe;-1;Allez dans le coffre fort;Horse;-1;Chevauchez le cheval à bascule;Null;0;Null;Null;0;Null
true;Safe;0;STATIQUE;4;Silouhette;-1;Allez dans le coffre fort;Axe;-1;Could you the safe and smash it with the axe ?;Hammer;-1;Could you the safe and smash it with the hammer ?;Crowbar;-1;Détruis le coffre avec le pied de bîche
false;Cadre;0;DYNAMIQUE;4;Null;0;Null;Null;0;Null;Null;0;Null;Null;0;Null
false;Padlock;0;STATIQUE;4;Null;1;Null;Null;0;Null;Null;0;Null;Null;0;Null
false;Ne pas trouver le code;0;STATIQUE;4;Null;-1;Null;Null;0;Null;Null;0;Null;Null;0;Null
false;Apple;0;DYNAMIQUE;4;Null;0;Mangez une pomme;Null;0;Null;Null;0;Null;Null;0;Null
true;Sheets;0;DYNAMIQUE;4;Door;0;Mettez des draps dans les interstices pour ralentir l'eau;Null;0;Null;Null;0;Null;Null;0;Null
true;Board;0;STATIQUE;4;Rope;-1;Fabriquez un radeau avec des planches et une corde;Null;0;Null;Null;0;Null;Null;0;Null
true;Rope;0;STATIQUE;4;Board;-1;Fabriquez un radeau avec des planches et une corde;Null;0;Null;Null;0;Null;Null;0;Null
true;Crowbar;0;DYNAMIQUE;4;Door;1;Forcez la porte avec un pied de bîche;Safe;-1;Retirez le pied de bîche du cofre;Null;0;Null;Null;0;Null
true;Hammer;0;DYNAMIQUE;4;Door;1;Bisez la porte au marteau;Safe;-1;Enlevez le marteau du coffle;Null;0;Null;Null;0;Null
true;Axe;0;DYNAMIQUE;4;Door;1;Défoncez la porte avec une hache;Safe;-1;Sortez la hache du le coffre;Null;0;Null;Null;0;Null
true;Beam;0;STATIQUE;4;Axe;1;Coupez la poutre avec la hache;Hammer;1;Défoncez la poutre avec votre marteau;Crowbar;1;Soulevez la poutre avec le pied de bîche;Null;0;Null
true;Cardboard;0;DYNAMIQUE;4;Null;0;Jetez les cartons hors du passage;Null;0;Null;Null;0;Null;Null;0;Null
true;Plant;0;DYNAMIQUE;4;Null;0;Lancez la plante hors du passage;Null;0;Null;Null;0;Null;Null;0;Null
true;Grapple;0;DYNAMIQUE;4;Ring;1;Attrapez l'anneau avec le grappin;Null;0;Null;Null;0;Null;Null;0;Null
true;Stool;0;STATIQUE;4;Hatch;1;Mettez un tabouret sous la trappe;Null;0;Null;Null;0;Null;Null;0;Null
true;Miller Trapdoor;0;STATIQUE;4;Stool;1;Mettez un tabouret sous la trappe;Null;0;Null;Null;0;Null;Null;0;Null
true;Stepladder;0;DYNAMIQUE;4;Skylight;1;Lancez l'escabot au travers du velux;Null;0;Null;Null;0;Null;Null;0;Null
true;Ladder;0;STATIQUE;4;Null;0;Null;Null;0;Null;Null;0;Null;Null;0;Null
true;Chair;0;DYNAMIQUE;4;Skylight;0;Lancez une chaise au travers du velux;Null;0;Null;Null;0;Null;Null;0;Null
true;Dumbbell;0;DYNAMIQUE;4;Skylight;1;Envoyez un poids au travers du velux;Null;0;Null;Null;0;Null;Null;0;Null
true;Window;0;STATIQUE;4;Stepladder;1;Lancez l'escabot au travers du velux;Chair;0;Lancez une chaise au travers du velux;Haltere;1;Envoyez un poids au travers du velux;Null;0;Null
true;Tile;0;STATIQUE;4;Null;0;Null;Null;0;Null;Null;0;Null;Null;0;Null
true;TapeRoll;0;DYNAMIQUE;4;Cardboard;-1;Utilisez du scotch et des cartons pour en faire un château;Null;0;Null;Null;0;Null;Null;0;Null
true;Cardboard;0;STATIQUE;4;Scotch;-1;Utilisez du scotch et des cartons pour en faire un château;Null;0;Null;Null;0;Null;Null;0;Null
true;Clothes;0;DYNAMIQUE;4;Mannequin;-1;Séchez vos vêtements sur le mannequin;Null;0;Null;Null;0;Null;Null;0;Null
true;Horse;0;STATIQUE;4;Silhouette;-1;Chevauchez le cheval à bascule;Null;0;Null;Null;0;Null;Null;0;Null
false;Silhouette;0;STATIQUE;4;Horse;-1;Chevauchez le cheval à bascule;Null;0;Null;Null;0;Null;Null;0;Null
